file,Google Prediction,YOLO Prediction,Final Prediction,Truth
Manually_Labelled/New/UL1005/FUL2G8K1005.JPG,2G8K,2G8K,2G8K,2G8K
Manually_Labelled/New/UL1202/FUL4O7S1202DUPLICATE.JPG,4O7S,4O7S,4O7S,4O7S1202DUPLI
Manually_Labelled/New/UL1011/FUL4S6O1011.JPG,4S3G0,4S6O,4S6O,4S6O
Manually_Labelled/New/LL1108/MLL3K4W1108.JPG,3K4W,3K4W,3K4W,3K4W
Manually_Labelled/New/TY1103/MTY1S8B1103.JPG,1S8B,1S8B,1S8B,1S8B
Manually_Labelled/New/UL1205/FUL2Y7V1205.JPG,2Y7V,2Y7V,2Y7V,2Y7V
Manually_Labelled/New/LL1107/FLL5G7O1107.JPG,5G7O,5G7O,5G7O,5G7O
Manually_Labelled/New/TY1102/FTY4P8S1102.JPG,6YPY5,4P7S,4P7S,4P8S
Manually_Labelled/New/UL1109/FUL2N3K1109.JPG,2N3K,2N3K,2N3K,2N3K
Manually_Labelled/New/TY1109/MTY7Y8S1109.JPG,7Y8S,7V8S,7V8S,7Y8S
Manually_Labelled/New/UL1009/FUL4S6O1009.JPG,4S6O,4S6O,4S6O,4S6O
Manually_Labelled/New/LL1110/FLL2P4F1110.JPG,2P4F,2P4F,2P4F,2P4F
Manually_Labelled/New/TY1106/FTY1S8R1106.JPG,KF1Y1S8F,1S8R,1S8R,1S8R
Manually_Labelled/New/UL1104/FUL4Y8F1104.JPG,4Y8F,4Y8F,4Y8F,4Y8F
Manually_Labelled/New/UL1001/FUL2W5P1001.JPG,,,,2W5P
Manually_Labelled/New/UL1104/MUL1P6O1104.JPG,,,,1P6O
Manually_Labelled/New/UL1006/FUL3N7B1006.JPG,3N7B,3N7B,3N7B,3N7B
Manually_Labelled/New/UL1001/FUL3K6Y1001.JPG,3K6Y,3K6Y,3K6Y,3K6Y
Manually_Labelled/New/CA1006/FCA1K6G1006.JPG,1K6G,1K6G,1K6G,1K6G
Manually_Labelled/New/UL1003/UPPER LALAJA  A- DONE/UPL A3-DONE/100NCD60/MEASURED/MUL4V6G1003.JPG,4V6G,4V6G,4V6G,4V6G
Manually_Labelled/New/UL1205/MUL3R7Y1205.JPG,3R7Y,3R7Y,3R7Y,3R7Y
Manually_Labelled/New/TY1106/FTY4V5S1106.JPG,4V5S,4V5S,4V5S,4V5S
Manually_Labelled/New/LL1209/MLL2Y5P1209.JPG,,,,2Y5P
Manually_Labelled/New/UL1008/FUL7V8G1008.JPG,7V8G,7VG,7V8G,7V8G
Manually_Labelled/New/CA1011/FCA7W8R1011.JPG,7WOR,7W8R,7W8R,7W8R
Manually_Labelled/New/UL1002/2-27-10 b - DONE/MEASURED/MUL6G8W1002.JPG,6G8W,6G8W,6G8W,6G8W
Manually_Labelled/New/LL1101/FLL4P5V1101.JPG,4P5V,4P5V,4P5V,4P5V
Manually_Labelled/New/LL1001/FLL4P5P1001.JPG,4P5P,4P5P,4P5P,4P5P
Manually_Labelled/New/UL1108/FUL6N7K1108.JPG,CONT7,6N7K,6N7K,6N7K
Manually_Labelled/New/LL1010/FLL3O8V1010.JPG,3O8V,3O8V,3O8V,3O8V
Manually_Labelled/New/TY1105/FTY5S6V1105.JPG,5S6V,5S6V,5S6V,5S6V
Manually_Labelled/New/LL1102/FLL3K7W1102.JPG,3K7W,3K7W,3K7W,3K7W
Manually_Labelled/New/UL1006/FUL1K6V1006.JPG,1K8V6,1K6V,1K6V,1K6V
Manually_Labelled/New/UL1105/FUL3G5R1105.JPG,3G5R,3G5R,3G5R,3G5R
Manually_Labelled/New/UL1012/FUL4S6S1012.JPG,4S6S,4S6S,4S6S,4S6S
Manually_Labelled/New/UL1010/FUL3O4P1010.JPG,3O4P,3O4P,3O4P,3O4P
Manually_Labelled/New/LL1005/MLL4P5V1005 (1).JPG,4P5V,4P5V,4P5V,4P5V
Manually_Labelled/New/UL1008/FUL2P6V1008.JPG,2P6V,2P6V,2P6V,2P6V
Manually_Labelled/New/CA1207 jpegs/FCA2G6W1207.JPG,2G6G,2G6W,2G6W,2G6W
Manually_Labelled/New/UL1006/FUL1N6G1006.JPG,1N6G,1N6G,1N6G,1N6G
Manually_Labelled/New/LL1006/FLL3B5O1006.JPG,3F5O,3B5O,3B5O,3B5O
Manually_Labelled/New/LL1107/MLL2W3B1107.JPG,2W3B,2W3B,2W3B,2W3B
Manually_Labelled/New/UL1009/MUL1O2K1009.JPG,1O2K,1O2K,1O2K,1O2K
Manually_Labelled/New/CA1106/FCA4R8B1106.JPG,4R8B,4R8B,4R8B,4R8B
Manually_Labelled/New/CA1104/FCA3R8Y1104.JPG,3R8Y,3R8Y,3R8Y,3R8Y
Manually_Labelled/New/LL1101/FLL5V6B1101.JPG,5V6B,5V6B,5V6B,5V6B
Manually_Labelled/New/UL1007/FUL6G7N1007.JPG,6G7N,6G7N,6G7N,6G7N
Manually_Labelled/New/LL1103/FLL3V5G1103.JPG,3V5G,3V5G,3V5G,3V5G
Manually_Labelled/New/UL1002/3-1-10 b DONE/MEASURED/MUL5B8V1002.JPG,,,,5B8V
Manually_Labelled/New/UL1005/MUL2R3N1005.JPG,1R3N,2R3N,2R3N,2R3N
Manually_Labelled/New/LL1007/FLL5R6V1007.JPG,5R6V,5R6V,5R6V,5R6V
Manually_Labelled/New/LL1205/FLL4B5P1205.JPG,4F5F,4B5P,4B5P,4B5P
Manually_Labelled/New/UL1105/FUL5F7K1105.JPG,5F7K,5F7K,5F7K,5F7K
Manually_Labelled/New/LL1006/FLL5V8P1006.JPG,5V8P,5V8P,5V8P,5V8P
Manually_Labelled/New/UL1002/3-1-10 b DONE/MEASURED/FUL4P7P1002.JPG,4P7P,4P7P,4P7P,4P7P
Manually_Labelled/New/LL1107/FLL7B8G1107.JPG,7B8G,7B8G,7B8G,7B8G
Manually_Labelled/New/UL1006/FUL3B4K1006.JPG,3B4K,3B4K,3B4K,3B4K
Manually_Labelled/New/LL1002/FLL6O8W1002.JPG,6O8W,6O8W,6O8W,6O8W
Manually_Labelled/New/LL1001/FLL2B7B1001.JPG,2F7B,2B7B,2B7B,2B7B
Manually_Labelled/New/LL1105/FLL4O6B1105.JPG,4O6B,4O6B,4O6B,4O6B
Manually_Labelled/New/UL1101/MUL6F8K1101.JPG,6F8K,6F8K,6F8K,6F8K
Manually_Labelled/New/UL1003/UPPER LALAJA  B- DONE/UPL B2 DONE/100NCD60/MEASURED/MUL2P3Y1003.JPG,2P3Y,2Y,2P3Y,2P3Y
Manually_Labelled/New/UL1201/FUL2S4N1201.JPG,2S4N,2S4N,2S4N,2S4N
Manually_Labelled/New/UL1103/FUL1P4F1103.JPG,1P4F,1P4F,1P4F,1P4F
Manually_Labelled/New/LL1010/FLL2B4W1010.JPG,2B4W,2B4W,2B4W,2B4W
Manually_Labelled/New/UL1207JPEGS/FUL4P8V1207.JPG,4P8V,4P8V,4P8V,4P8V
Manually_Labelled/New/UL1007/MUL2W3F1007.JPG,2W3F,2W3F,2W3F,2W3F
Manually_Labelled/New/LL1110/MLL2Y8F1110.JPG,2Y8F,2Y8F,2Y8F,2Y8F
Manually_Labelled/New/LL1004/MLL4O8R1004.JPG,4O8R,4O8R,4O8R,4O8R
Manually_Labelled/New/LL1105/MLL5R7W1105.JPG,5R1W,5R7W,5R7W,5R7W
Manually_Labelled/New/UL1006/FUL1K3N1006.JPG,KBN,1K3N,1K3N,1K3N
Manually_Labelled/New/LL1209/FLL3K7O1209s.JPG,3K7O,3K7O,3K7O,3K7O
Manually_Labelled/New/UL1104/FUL2G8S1104.JPG,2G8S,2G8S,2G8S,2G8S
Manually_Labelled/New/UL1007/FUL1Y2S3V1007.JPG,1Y2S3V,Y2S3V,1Y2S3V,1Y2S3V
Manually_Labelled/New/CA1007/FCA1R5G1007.JPG,1R5F,1R5G,1R5G,1R5G
Manually_Labelled/New/LL1206/MLL6R8G1206.JPG,,,,6R8G
Manually_Labelled/New/LL1105/FLL1F4F1105.JPG,1F4F,1F4F,1F4F,1F4F
Manually_Labelled/New/UL1004/FUL5V7R1004.JPG,5V7R,5V7R,5V7R,5V7R
Manually_Labelled/New/LL1001/MLL4R7P1001.JPG,4R7P,4R7P,4R7P,4R7P
Manually_Labelled/New/CA1212 JB/MCA3R4V1212s.JPG,3R4V,3R4V,3R4V,3R4V
Manually_Labelled/New/LL1107/MLL2W4F1107.JPG,2W4F,2W4F,2W4F,2W4F
Manually_Labelled/New/UL1009/FUL5G7P1009.JPG,5G7P,5G7P,5G7P,5G7P
Manually_Labelled/New/UL1205/MUL1K3R1205.JPG,1K3R,1K3R,1K3R,1K3R
Manually_Labelled/New/LL1005/FLL6V7G1005.JPG,6K7G,6V7G,6V7G,6V7G
Manually_Labelled/New/UL1011/FUL5F6G1011.JPG,5F6G,5F6G,5F6G,5F6G
Manually_Labelled/New/TY1004/Taylor A/Taylor A1/Taylor A/101NCD60/MEASURED/MTY3O6B1004.JPG,3O6B,3O6B,3O6B,3O6B
Manually_Labelled/New/CA1108/FCA4V8G1108.JPG,4F6,4N8G,4N8G,4V8G
Manually_Labelled/New/CA1005/MCA1G8V1005.JPG,1G8,1G8V,1G8V,1G8V
Manually_Labelled/New/LL1104/FLL6O8Y1104.JPG,6O7Y,6O7Y,6O7Y,6O8Y
Manually_Labelled/New/LL1109/FLL3G6P1109.JPG,3G6P,3G6P,3G6P,3G6P
Manually_Labelled/New/TY1203/FTY3S4O1203.JPG,3S4O,3S4O,3S4O,3S4O
Manually_Labelled/New/CA1105/FCA5V7K1105.JPG,5V2K,5V7K,5V7K,5V7K
Manually_Labelled/New/LL1005/FLL2B3B5B1005 (1).JPG,2B3B5B,2B3B5B,2B3B5B,2B3B5B
Manually_Labelled/New/LL1012/FLL2K5P1012.JPG,2K5P,2K5P,2K5P,2K5P
Manually_Labelled/New/UL1003/UPPER LALAJA  A- DONE/UPL A1-DONE/DONE/FUL2V8O1003.JPG,2K8O,2V8O,2V8O,2V8O
Manually_Labelled/New/UL1001/FUL3V7V1001.JPG,3V7V,3V7V,3V7V,3V7V
Manually_Labelled/New/UL1005/MUL4V5N1005.JPG,4V5N,4V5N,4V5N,4V5N
Manually_Labelled/New/UL1102/FUL2O3S1102.JPG,2O3S,2O3S,2O3S,2O3S
Manually_Labelled/New/LL1006/FLL2G7P1006.JPG,2G7P,2G7P,2G7P,2G7P
Manually_Labelled/New/CA1206/FCA2V8B1206.JPG,2V8B,2V8B,2V8B,2V8B
Manually_Labelled/New/LL1009/FLL2B3B5B1009.JPG,2B3F5B,2B3B5B,2B3B5B,2B3B5B
Manually_Labelled/New/UL1103/MUL5P7F8S1103.JPG,5P7F8S,5P7F8S,5P7F8S,5P7F8S
Manually_Labelled/New/UL1105/FUL6N8R1105.JPG,6N5R,6N8R,6N8R,6N8R
Manually_Labelled/New/LL1108/MLL5W7B1108.JPG,5W7B,5W7B,5W7B,5W7B
Manually_Labelled/New/UL1002/2-26-10 b - DONE/MEASURED/MUL3V7O1002.JPG,3K7O,3V7O,3V7O,3V7O
Manually_Labelled/New/LL1111/MLL2Y5R1111.JPG,2Y5R,2Y5R,2Y5R,2Y5R
Manually_Labelled/New/UL1009/MUL1N8K1009.JPG,1N5K,1N8K,1N8K,1N8K
Manually_Labelled/New/UL1005/FUL2K4K1005.JPG,2K4K,2K4K,2K4K,2K4K
Manually_Labelled/New/UL1006/MUL6N8G1006.JPG,6N8G,6N8G,6N8G,6N8G
Manually_Labelled/New/UL1012/MUL1V5F1012.JPG,1V5F,7V5F,7V5F,1V5F
Manually_Labelled/New/LL1109/FLL5R8V1109.JPG,,,,5R8V
Manually_Labelled/New/UL1009/FUL5F6S1009.JPG,5F6S,5F6S,5F6S,5F6S
Manually_Labelled/New/UL1201/FUL5F7G1201.JPG,5F7G,5F7G,5F7G,5F7G
Manually_Labelled/New/CA1007/FCA5V7B1007.JPG,5V7B,5V7B,5V7B,5V7B
Manually_Labelled/New/UL1111/FUL6G7Y1111.JPG,6G7Y,6G7Y,6G7Y,6G7Y
Manually_Labelled/New/TY1004/Taylor B/Taylor B1/Taylor B/100NCD60/Measured/FTY2P6V1004 (1).JPG,2P6V,2P6V,2P6V,2P6V
Manually_Labelled/New/TY1001/FTY1G6W1001.JPG,1G6W,1G6W,1G6W,1G6W
Manually_Labelled/New/UL1108/MUL3S7B1108.JPG,3S7B,3S7B,3S7B,3S7B
Manually_Labelled/New/LL1110/FLL3G5W1110.JPG,3G5W,3GW,3G5W,3G5W
Manually_Labelled/New/LL1101/MLL5Y7F1101.JPG,5Y7F,5Y7F,5Y7F,5Y7F
Manually_Labelled/New/UL1009/FUL2N7S1009.JPG,2N7S,2N7S,2N7S,2N7S
Manually_Labelled/New/LL1207/FLL1P7F1207.JPG,1P7F,1P7F,1P7F,1P7F
Manually_Labelled/New/LL1202/FLL2W7W1202.JPG,2W7W,2W7W,2W7W,2W7W
Manually_Labelled/New/UL1007/MUL1O3S1007.JPG,1O3S,1O3S,1O3S,1O3S
Manually_Labelled/New/UL1007/FUL6O7F1007.JPG,6O7F,6O7F,6O7F,6O7F
Manually_Labelled/New/UL1008/MUL1B7N1008.JPG,1B7N,1B7N,1B7N,1B7N
Manually_Labelled/New/UL1108/FUL4S7P1108.JPG,4S7P,4S7P,4S7P,4S7P
Manually_Labelled/New/LL1112/FLL5K6B1112.JPG,5K6B,5KB,5K6B,5K6B
Manually_Labelled/New/UL1111/FUL5K7K1111.JPG,5K7K,5K7K,5K7K,5K7K
Manually_Labelled/New/LL1101/FLL3O8W1101.JPG,3O8W,3O8W,3O8W,3O8W
Manually_Labelled/New/CA1211 JB/FCA5R8W1211.JPG,5R8W,5R8W,5R8W,5R8W
Manually_Labelled/New/UL1102/FUL5N6F1102.JPG,5N6F,5N6F,5N6F,5N6F
Manually_Labelled/New/UL1010/MUL5O7S1010.JPG,5O7S,5O7S,5O7S,5O7S
Manually_Labelled/New/CA1210 JB/FCA2W8V1210.JPG,2W8V,2W8V,2W8V,2W8V
Manually_Labelled/New/UL1201/FUL4V5G1201.JPG,4O5G,4V5G,4V5G,4V5G
Manually_Labelled/New/LL1001/FLL1R5G6O1001.JPG,1R5G6O,1RS6WO,1R5G6O,1R5G6O
Manually_Labelled/New/LL1205/FLL2W7W1205.JPG,2W7W,2W7W,2W7W,2W7W
Manually_Labelled/New/UL1010/FUL3P5P1010.JPG,3P5P,3P5P,3P5P,3P5P
Manually_Labelled/New/UL1105/MUL3B8K1105.JPG,3F8K,3B8K,3B8K,3B8K
Manually_Labelled/New/UL1005/FUL5S7B1005.JPG,5S7B,5S7B,5S7B,5S7B
Manually_Labelled/New/TY1101/FTY5V7G1101.JPG,5V7G,5V7G,5V7G,5V7G
Manually_Labelled/New/TY1109/MTY1S7S1109.JPG,1S7S,1S7S,1S7S,1S7S
Manually_Labelled/New/TY1202/MTY2S5S1202.JPG,,,,2S5S
Manually_Labelled/New/UL1201/FUL1F8K1201.JPG,1F5K,1F8K,1F8K,1F8K
Manually_Labelled/New/UL1109/FUL5N6K1109.JPG,5N6K,5N6K,5N6K,5N6K
Manually_Labelled/New/CA1007/FCA7G8V1007.JPG,7G8V,7G8V,7G8V,7G8V
Manually_Labelled/New/UL1006/FUL6G7S1006.JPG,6G7S,6G7S,6G7S,6G7S
Manually_Labelled/New/UL1110/FUL2N4V1110.JPG,2N4V,2N4V,2N4V,2N4V
Manually_Labelled/New/LL1006/MLL2W7B1006.JPG,1ZWY3,2W7B,2W7B,2W7B
Manually_Labelled/New/UL1006/FUL3V5R1006.JPG,3V5R,3V5R,3V5R,3V5R
Manually_Labelled/New/TY1102/FTY4B6W1102.JPG,4B6W,4B6W,4B6W,4B6W
Manually_Labelled/New/CA1208/FCA4V8Y1208.JPG,4V8K,4V8Y,4V8Y,4V8Y
Manually_Labelled/New/CA1109/FCA1R3P1109.JPG,1R3P,1R3P,1R3P,1R3P
Manually_Labelled/New/LL1109/MLL3R4W1109.JPG,3F4W,3R4W,3R4W,3R4W
Manually_Labelled/New/UL1011/FUL2R3G1011.JPG,2R3G,2R3G,2R3G,2R3G
Manually_Labelled/New/UL1202/MUL3P7R1202.JPG,MV6BPY8,3P7R,3P7R,3P7R
Manually_Labelled/New/TY1204/FTY3G5G1204.JPG,3G5G,5GG,3G5G,3G5G
Manually_Labelled/New/LL1208/MLL3B6P1208.JPG,3B6P,3B6P,3B6P,3B6P
Manually_Labelled/New/UL1004/MUL1R2Y1004.JPG,,,,1R2Y
Manually_Labelled/New/CA1010/FCA1V6O1010.JPG,1V6O,1V6O,1V6O,1V6O
Manually_Labelled/New/TY1106/MTY1P5W1106.JPG,1P5W,1P5W,1P5W,1P5W
Manually_Labelled/New/LL1011/FLL5O6V1011.JPG,5O6V,5O6V,5O6V,5O6V
Manually_Labelled/New/LL1008/FLL5B6R1008.JPG,5B8R,5B6R,5B6R,5B6R
Manually_Labelled/New/UL1111/FUL3P8W1111.JPG,3P8W,3P8W,3P8W,3P8W
Manually_Labelled/New/UL1003/UPPER LALAJA  B- DONE/UPL B2 DONE/100NCD60/MEASURED/FUL3W8G1003.JPG,3W8Y,3W8G,3W8G,3W8G
Manually_Labelled/New/UL1002/2-26-10 b - DONE/MEASURED/MUL1Y4G1002.JPG,1Y4G,1Y4G,1Y4G,1Y4G
Manually_Labelled/New/CA1110/FCA1B7O1110.JPG,1F7O,1B7O,1B7O,1B7O
Manually_Labelled/New/UL1205/MUL3G5K1205.JPG,3G5K,3G5K,3G5K,3G5K
Manually_Labelled/New/TY1205/FTY5V8R1205.JPG,5V8R,5V8R,5V8R,5V8R
Manually_Labelled/New/LL1202/FLL2O6W1202.JPG,2O6W,2O6W,2O6W,2O6W
Manually_Labelled/New/UL1107/MUL1F8K1107.JPG,1F8K,1F8K,1F8K,1F8K
Manually_Labelled/New/LL1104/FLL6G7W1104.JPG,6G7W,6G7W,6G7W,6G7W
Manually_Labelled/New/UL1108/FUL2G4S1108.JPG,2G4S,2G4S,2G4S,2G4S
Manually_Labelled/New/UL1104/FUL3R4N1104.JPG,3R4N,3R4N,3R4N,3R4N
Manually_Labelled/New/LL1004/FLL3W6O1004.JPG,3O6O,3W6O,3W6O,3W6O
Manually_Labelled/New/LL1002/FLL4Y5R1002.JPG,4Y5R,4Y5R,4Y5R,4Y5R
Manually_Labelled/New/CA1210 JB/MCA5O7V1210.JPG,5O7V,5O7V,5O7V,5O7V
Manually_Labelled/New/LL1204/MLL3B4W1204.JPG,3F4W,3B4W,3B4W,3B4W
Manually_Labelled/New/UL1207JPEGS/FUL3V4P1207.JPG,3V4P,3V4P,3V4P,3V4P
Manually_Labelled/New/TY1205/FTY2B3G1205.JPG,2B3G,2B3G,2B3G,2B3G
Manually_Labelled/New/CA1007/MCA3O4P1007.JPG,3O4P,3O4P,3O4P,3O4P
Manually_Labelled/New/UL1004/MUL1B6N1004.JPG,1B8N,1B6N,1B6N,1B6N
Manually_Labelled/New/LL1105/MLL1R8F1105.JPG,1F8F,1R8F,1R8F,1R8F
Manually_Labelled/New/LL1105/FLL1N8F1105.JPG,1N5F,1N8F,1N8F,1N8F
Manually_Labelled/New/TY1001/FTY5V8W1001.JPG,5V8W,5V8W,5V8W,5V8W
Manually_Labelled/New/LL1105/MLL2G7W1105.JPG,2G7W7O,2G7W,2G7W,2G7W
Manually_Labelled/New/LL1205/FLL3O7R1205.JPG,3O7R,3O7R,3O7R,3O7R
Manually_Labelled/New/UL1205/MUL6Y8G1205.JPG,6Y8G,6Y8G,6Y8G,6Y8G
Manually_Labelled/New/UL1207JPEGS/MUL3N7P1207.JPG,3N7P,3N7P,3N7P,3N7P
Manually_Labelled/New/LL1208/MLL2W3O1208.JPG,2O3O,2W3O,2W3O,2W3O
Manually_Labelled/New/CA1209jpegs JB/FCA1W6B1209s.JPG,WG3,1W6B,1W6B,1W6B
Manually_Labelled/New/CA1005/FCA5G7W1005.JPG,5G7W,5G7W,5G7W,5G7W
Manually_Labelled/New/UL1002/3-1-10 a DONE/MEASURED/MUL1N2B1002.JPG,1N2B,N2B,1N2B,1N2B
Manually_Labelled/New/UL1006/MUL2N6R1006.JPG,2N6R,2N6R,2N6R,2N6R
Manually_Labelled/New/LL1108/FLL3F6R1108.JPG,3F6R,3F6R,3F6R,3F6R
Manually_Labelled/New/UL1101/FUL7N8K1101.JPG,7N8K,7N8K,7N8K,7N8K
Manually_Labelled/New/CA1010/FCA4B7P1010.JPG,6B1P,4B7P,4B7P,4B7P
Manually_Labelled/New/UL1103/FUL3R6R8K1103.JPG,3R6R5K,3R6R8K,3R6R8K,3R6R8K
Manually_Labelled/New/UL1009/FUL1N2N1009.JPG,NKN,1W6N,1W6N,1N2N
Manually_Labelled/New/UL1010/FUL6N8G1010.JPG,6N8G,6N8G,6N8G,6N8G
Manually_Labelled/New/TY1107/MTY2S6Y1107.JPG,2S6Y,2S6Y,2S6Y,2S6Y
Manually_Labelled/New/TY1102/FTY4S5G1102.JPG,4S5G,4S5G,4S5G,4S5G
Manually_Labelled/New/TY1004/Taylor B/Taylor B1/Taylor B/101NCD60/Measured/FTY4G6P1004 (1).JPG,4G6P,4G6P,4G6P,4G6P
Manually_Labelled/New/UL1002/3-2-10 b - DONE/MEASURED/FUL6V8W1002.JPG,6V8W,6V8W,6V8W,6V8W
Manually_Labelled/New/LL1003/FLL1B7W1003.JPG,1B7W,1B7W,1B7W,1B7W
Manually_Labelled/New/LL1104/FLL3G6Y1104.JPG,3G6Y,3G6Y,3G6Y,3G6Y
Manually_Labelled/New/UL1106/MUL1V6K1106.JPG,6V6K,1V6K,1V6K,1V6K
Manually_Labelled/New/UL1002/3-1-10 a DONE/MEASURED/MUL6R8P1002.JPG,OR5P,6R8P,6R8P,6R8P
Manually_Labelled/New/UL1012/FUL1P7G1012.JPG,OKPY6,1P7G,1P7G,1P7G
Manually_Labelled/New/LL1103/FLL7F8Y1103.JPG,7F8Y,7F8Y,7F8Y,7F8Y
Manually_Labelled/New/UL1106/MUL3B7G1106.JPG,3B7G1,3B7G,3B7G,3B7G
Manually_Labelled/New/UL1008/FUL2V6B1008.JPG,2V6B,2V6B,2V6B,2V6B
Manually_Labelled/New/UL1202/MUL4K8Y1202.JPG,4K3Y,4K8Y,4K8Y,4K8Y
Manually_Labelled/New/UL1204/MUL1P8W1204.JPG,1P8W,1P8W,1P8W,1P8W
Manually_Labelled/New/UL1010/MUL3F4V1010.JPG,3F4K,3F4V,3F4V,3F4V
Manually_Labelled/New/LL1012/MLL3Y8K1012.JPG,3Y8K,3Y8K,3Y8K,3Y8K
Manually_Labelled/New/LL1104/MLL2F4G1104.JPG,,,,2F4G
Manually_Labelled/New/UL1104/FUL6N8B1104.JPG,6N8B,6N8B,6N8B,6N8B
Manually_Labelled/New/TY1005/Taylor A1/DCIM/100NCD60/Measured/MTY7Y8B1005 (1).JPG,7Y8B,7Y8B,7Y8B,7Y8B
Manually_Labelled/New/UL1207JPEGS/FUL1O4K1207.JPG,,,,1O4K
Manually_Labelled/New/UL1102/FUL1Y6O1102.JPG,1Y6O,1Y6O,1Y6O,1Y6O
Manually_Labelled/New/CA1012/MCA1O8P1012.JPG,1O8P,1O8P,1O8P,1O8P
Manually_Labelled/New/CA1010/FCA1V8B1010.JPG,1V3B,1V8B,1V8B,1V8B
Manually_Labelled/New/LL1007/MLL6K8O1007.JPG,6K8O,6K8O,6K8O,6K8O
Manually_Labelled/New/UL1108/FUL6N7R1108.JPG,6N7R,6N7R,6N7R,6N7R
Manually_Labelled/New/UL1009/FUL1O4G1009.JPG,1O4G,1O4G,1O4G,1O4G
Manually_Labelled/New/LL1111/MLL6R7R1111.JPG,6R7R,6R7R,6R7R,6R7R
Manually_Labelled/New/LL1008/MLL7B8V1008.JPG,7B8V,7B8V,7B8V,7B8V
Manually_Labelled/New/LL1104/MLL3W6F1104.JPG,3W6F,3W6F,3W6F,3W6F
Manually_Labelled/New/UL1201/FUL6O8G1201.JPG,6O8G,6O8G,6O8G,6O8G
Manually_Labelled/New/CA1012/MCA1P3B1012.JPG,1P3B,PB,1P3B,1P3B
Manually_Labelled/New/UL1112/FUL6P7N1112.JPG,6P7N,6P7N,6P7N,6P7N
Manually_Labelled/New/LL1010/FLL6G7O1010.JPG,6G7O,6G7O,6G7O,6G7O
Manually_Labelled/New/UL1005/MUL2O4O1005.JPG,2O4O,2O4O,2O4O,2O4O
Manually_Labelled/New/TY1011/MTY1O8B1011.JPG,1O8B,1O8B,1O8B,1O8B
Manually_Labelled/New/CA1006/FCA4V8B1006.JPG,4V8B,4V8B,4V8B,4V8B
Manually_Labelled/New/UL1105/MUL1F2V1105.JPG,1F2V,1F2V,1F2V,1F2V
Manually_Labelled/New/LL1008/MLL1K3W1008.JPG,KBW,1K3W,1K3W,1K3W
